Published Title of Study,Lab/Online,Collaborator(s),"Description of IV's, DV's, and procedure",# participants enrolled,# of participants completed study,Advertised time,advertised payment,Total payment,Fees paid to hosts/Qualtrics,Average/median time (minutes),Date started,Date Completed,Deception Used,Any Problems?,additional notes
Decision-making study,Online (Prolific),Jose Cervantez,Stage 2 endorser survey pilot (N=20). Ps act as endorsers choosing between candidates based on GK/Word scores. IV: candidate gender pairing. DV: endorsement slider (0-100).,20,16,8 min,$1.20,$26.13,$6.93,9.4 / 8,11 Feb 2026,11 Feb 2026,No,,Prolific study ID: 698c9b997845ec93ec16f692; Internal: sponsorship evaluation (time estimate pilot)
Human judgement and decision-making,Online (Prolific),Jose Cervantez,Gender manipulation check. Ps view endorser profiles and identify endorser gender. DV: gender identification accuracy.,75,75,1 min,$0.15,$15.00,$3.75,0.8 / 1,11 Feb 2026,11 Feb 2026,No,,Prolific study ID: 698c9d4824381d13bc0dc48a; Internal: Sponsor evaluator gender manipulation check
Behavioral Study,Online (Prolific),Jose Cervantez,Stage 2 endorser survey pilot (N=200). Ps act as endorsers choosing between candidates based on GK/Word scores. IV: candidate gender pairing. DV: endorsement slider (0-100).,200,200,10 min,$1.50,$405.88,$105.88,8.4 / 10,11 Feb 2026,11 Feb 2026,No,,Prolific study ID: 698cc633b8e938f1afa96e29; Internal: sponsorship evaluation (time estimate pilot)
Behavioral Study,Online (Prolific),Jose Cervantez,Stage 3 evaluator survey pilot (N=25). Ps evaluate endorser decisions and stake bonus. IV: endorser gender x correctness x strength (2x2x2). DV: stake percentage (0-100%).,25,23,6 min,$0.90,$29.07,$8.37,4.6 / 6,12 Feb 2026,12 Feb 2026,No,,Prolific study ID: 698df2d1ef3b06cdc3c49ca3; Internal: sponsorship evaluator survey (time estimate pilot)
Decision-making study,Online (Prolific),Jose Cervantez,Stage 3 evaluator survey (N=100). Ps evaluate endorser decisions and stake bonus. IV: endorser gender x correctness x strength (2x2x2). DV: stake percentage (0-100%).,100,100,5 min,$0.75,$116.53,$41.53,5.8 / 5,12 Feb 2026,12 Feb 2026,No,,Prolific study ID: 698e27db580428e78f8e9ff1; Internal: sponsorship evaluator pilot #1 (N=100)
Decision-making study,Online (Prolific),Jose Cervantez,Stage 3 evaluator survey (N=400). Ps evaluate endorser decisions and wager $0.50 bank. IV: endorser gender x correctness x strength (2x2x2). DV: wager percentage (0-100%).,400,400,5 min,$0.75,$459.33,$159.33,5.4 / 5,19 Feb 2026,19 Feb 2026,No,,Prolific study ID: 699503492f16351efc6be595; Internal: sponsorship evaluator pilot #1 (N=400)
Comprehension Survey,Online (Prolific),Jose Cervantez,Comprehension pretest (N=34). Ps read evaluator instructions and answer 5 comprehension checks. DV: comprehension score (0-5).,34,34,2 min,$0.70,$31.74,$7.94,4.6 / 2,10 Mar 2026,10 Mar 2026,No,,Prolific study ID: 69b03ce82fe9a48622701437; Internal: sponsorship evaluator pretest of instructions
Decision-making study,Online (Prolific),Jose Cervantez,Stage 3 evaluator pilot with revised instructions (N=30). Ps evaluate endorser decisions and wager $0.50 bank. IV: endorser gender x correctness x strength (2x2x2). DV: wager percentage (0-100%).,30,16,4 min,$0.85,$18.13,$4.53,4.1 / 4,13 Mar 2026,13 Mar 2026,No,,Prolific study ID: 69b40b850c4cd6cd75d539d2; Internal: sponsorship evaluator (new instructions pilot)
Quick attitudes survey,Online (Prolific),Jose Cervantez,Stage 3 evaluator survey with revised instructions (N=400). Ps evaluate endorser decisions and wager $0.50 bank. IV: endorser gender x correctness x strength (2x2x2). DV: wager percentage (0-100%).,400,400,4 min,$0.85,$463.34,$123.34,6.1 / 4,13 Mar 2026,13 Mar 2026,No,,Prolific study ID: 69b416034cf8f370e3d1d5e8; Internal: sponsorship evaluator (new instructions N=400)
